P_left,P_right,beta_left,floor_count,completed,max_iterations_seen,min_pressure_seen
0.05,0.005,0.064,0,1,5,0.00491244
0.025,0.0025,0.032,0,1,5,0.00248214
0.01,0.001,0.0128,0,1,5,0.000997686
0.005,0.0005,0.0064,0,1,5,0.000499494
0.0025,0.00025,0.0032,0,1,5,0.000249887
0.001,0.0001,0.00128,0,1,5,9.99842e-05
0.0005,5e-05,0.00064,0,1,5,4.99964e-05
0.00025,2.5e-05,0.00032,0,1,5,2.49992e-05
0.0001,1e-05,0.000128,0,1,5,9.99988e-06
5e-05,5e-06,6.4e-05,0,1,5,4.99997e-06
2.5e-05,2.5e-06,3.2e-05,0,1,5,2.49999e-06
1e-05,1e-06,1.28e-05,0,1,5,9.99999e-07
5e-06,5e-07,6.4e-06,0,1,5,5e-07
2.5e-06,2.5e-07,3.2e-06,0,1,5,2.5e-07
1e-06,1e-07,1.28e-06,0,1,5,1e-07
5e-07,5e-08,6.4e-07,0,1,5,5e-08
